internal_player_id,draft_command_board_rank,canonical_player_id,gsis_id,espn_id,display_name,normalized_name,position,current_team,consensus_source_team,team_conflict_preserved,identity_method,identity_confidence,consensus_join_key,consensus_join_status
95,95,00-0038994,00-0038994,4429205,Jordan Addison,jordanaddison,WR,MIN,MIN,false,espn-id,1.0,jordanaddison|WR,MATCHED_CANONICAL_NAME_POSITION
96,96,00-0038997,00-0038997,4688813,Josh Downs,joshdowns,WR,IND,IND,false,espn-id,1.0,joshdowns|WR,MATCHED_CANONICAL_NAME_POSITION
97,97,00-0039738,00-0039738,4429096,Blake Corum,blakecorum,RB,LAR,LAR,false,espn-id,1.0,blakecorum|RB,MATCHED_CANONICAL_NAME_POSITION
98,98,00-0036919,00-0036919,4371733,Kenneth Gainwell,kennethgainwell,RB,TB,TB,false,espn-id,1.0,kennygainwell|RB,MATCHED_CANONICAL_NAME_POSITION
99,99,00-0040236,00-0040236,4608686,Kyle Monangai,kylemonangai,RB,CHI,CHI,false,espn-id,1.0,kylemonangai|RB,MATCHED_CANONICAL_NAME_POSITION
100,100,00-0040867,00-0040867,4870795,Makai Lemon,makailemon,WR,PHI,PHI,false,espn-id,1.0,makailemon|WR,MATCHED_CANONICAL_NAME_POSITION
101,101,00-0038544,00-0038544,4429025,Quentin Johnston,quentinjohnston,WR,LAC,LAC,false,espn-id,1.0,quentinjohnston|WR,MATCHED_CANONICAL_NAME_POSITION
102,102,00-0040242,00-0040242,4575131,Jacory Croskey-Merritt,jacorycroskeymerritt,RB,WAS,WAS,false,espn-id,1.0,jacorycroskeymerritt|RB,MATCHED_CANONICAL_NAME_POSITION
103,103,00-0038117,00-0038117,4569587,Wan'Dale Robinson,wandalerobinson,WR,TEN,TEN,false,espn-id,1.0,wandalerobinson|WR,MATCHED_CANONICAL_NAME_POSITION
104,104,00-0037834,00-0037834,4361741,Brock Purdy,brockpurdy,QB,SF,SF,false,espn-id,1.0,brockpurdy|QB,MATCHED_CANONICAL_NAME_POSITION
